Alpha,CLtot,CDtot,L/D
0.0,0.151365485782,0.007116594735,21.269369889723
1.0,0.233570374088,0.009852057946,23.707775102243
2.0,0.315594205844,0.013748529489,22.954760804676
3.0,0.396787204249,0.018745498279,21.167066265444
4.0,0.477930156195,0.024889838753,19.201818096653
5.0,0.558758190668,0.032186873256,17.359815792634
6.0,0.639393753498,0.040605033493,15.746662383718
7.0,0.719925651873,0.050148261585,14.355944336178
8.0,0.800124815206,0.06081999726,13.15562070466
9.0,0.881236662158,0.073073893251,12.05952800581
10.0,0.960973599646,0.08609545802,11.161722368997
