Alpha,CLtot,CDtot,L/D
0.0,0.14134048982,0.00723263164,19.542055623442
1.0,0.217172843789,0.010059304241,21.589250965655
2.0,0.292816431559,0.01406514246,20.818589814174
3.0,0.368230128669,0.019252984976,19.125872125023
4.0,0.443322399618,0.025605039207,17.313873102546
5.0,0.518055754971,0.033104551405,15.649079446339
6.0,0.592379287644,0.041752174283,14.187986561751
7.0,0.666275185921,0.051532468769,12.929230868169
8.0,0.739602267642,0.062621990921,11.81058373844
9.0,0.812354596181,0.074586391145,10.891458665786
10.0,0.886980001563,0.088509606018,10.021285162892
