naca16016
2
cl
10000
0.01
19
-180	-0.726282
-8	-0.726282
-7	-0.622431
-6	-0.518581
-5	-0.41473
-4	-0.31088
-3	-0.207029
-2	-0.103178
-1	-0.000672425 
0	0.104523
1	0.208374
2	0.312224
3	0.405996
4	0.499767
5	0.590514
6	0.681261
7	0.749592
8	0.817924
180	0.817924
cd
10000
0.01
19
-180	0.052773
-8	0.052773
-7	0.0448664
-6	0.0399598
-5	0.0266581
-4	0.0180578
-3	0.00917065
-2	0.00714089
-1	0.00541159
0	0.00525418
1	0.00541159
2	0.00714089
3	0.00917065
4	0.0180578
5	0.0266581
6	0.0369598
7	0.0448664
8	0.052773
180	0.052773
