Alpha,CLtot,CDtot,L/D
0.0,0.108269158855,0.007606959246,14.232909019259
1.0,0.162991676832,0.010383546125,15.697111070663
2.0,0.217609347494,0.014267763502,15.251819072278
3.0,0.271971603662,0.019291026346,14.098348049744
4.0,0.326058736178,0.025372835801,12.850701385283
5.0,0.379835207824,0.03253798229,11.673594399117
6.0,0.43326795881,0.040795834069,10.620397123842
7.0,0.486253291629,0.050069419162,9.711582434287
8.0,0.538691347188,0.060365850496,8.923776319959
9.0,0.592612730431,0.072367921278,8.188887009131
10.0,0.644319520486,0.084606325849,7.615500543464
